Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB, 
,,,O88879,,,,,,,,Apoptotic protease-activating factor 1 (APAF-1),Apaf1,1249,Mus musculus (Mouse),1-90(CARD domain),15970665,"Apaf is a core component of the cell death machine and plays an important role in the general apoptotic program of normal development and pathogenesis. Oligomeric Apaf-1 mediates the cytochrome c-dependent autocatalytic activation of pro-caspase- 9 (Apaf-3), leading to the activation of caspase-3 and apoptosis. The monomeric form is autoinhibited in a closed conformation through a bound ADP at the nucleotide binding site. The CARD domain of Apaf-1 stacks closely against the ?/? fold and the winged-helix domain. And consequently Apaf-1 exists in a conformation that is incompatible for the recruitment of the CARD domain of caspase-9. The activation of Apaf-1 requires cytochrome c and ATP or dATP. ",Experimentally validated,,,
,,,P00782,,,,,,,,Subtilisin BPN' (EC 3.4.21.62) (Alkaline protease) (Subtilisin DFE) (Subtilisin Novo),apr,382,Bacillus amyloliquefaciens (Bacillus velezensis),1-77(N-terminal prosegment),8535784,Serine protease subtilisin BPN' is secreted by the soil bacterium for the apparent biological function of digesting environmental proteins for bacterial absorption. The N-terminal 77 residues must be removed for the activation of this enzyme. ,Experimentally validated,,,
,,,Q9NZN5,,,,,,,,Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF),ARHGEF12 KIAA0382 LARG,1544,Homo sapiens (Human),765-782(Autoinhibitory region),21064165,"ARHGEF12 plays a role in the regulation of RhoA GTPase by guanine nucleotide-binding alpha-12 (GNA12) and alpha-13 (GNA13). It acts as guanine nucleotide exchange factor (GEF) for RhoA GTPase and may act as GTPase-activating protein (GAP) for GNA12 and GNA13. Its linker region connecting the N-terminal RGS-homology (RH) domain and the DH domain inhibits the intrinsic guanine nucleotide exchange (GEF) activity of ARHGEF12. Deletion of this region (residues 765–782) or mutations of a conserved tryptophan residue within this region, produced 80% declines in GEF activity of the LARG DH/PH domains toward RhoA.",Experimentally validated,,,
,,,Q9UQB8,,,,,,,,Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53),BAIAP2,552,Homo sapiens (Human),1-178(N-terminal autoinhibitory region),"11696321, 12054568","BAIAP2 (IRSp53) is a SH3-containing protein that links membrane-bound small G-proteins to cytoplasmic effector proteins. The N-terminal autoinhibitory region interacts intramolecularly with the central region containing CRIB motif and Cdc42 binding domain. When GTP-loaded Cdc42 binds to the CRIB motif, it abrogates the autoinhibitory, intramolecular interaction and allows the SH3 domain to interact with IRSp53 effector proteins such as Mena. When the N-terminal autoinhibitory fragment was co-expressed with BAIAP2, the fragment inhibited the function of BAIAP2. ",Experimentally validated,,,
,,,A0A044RE18,,,,,,,,Endoprotease bli (EC 3.4.21.75) (Blisterase),Bli,693,Onchocerca volvulus,21-116(Prodomain),12855702,"Bli is a subtilisin-like proprotein convertase of nematodes. For its activation, its N-terminal prodomain should be cleaved at RRKR motif. After cleavage, the prodomain remains associated with the protease, inhibiting its catalytic domain until the complex is translocated to the trans Golgi network. Independent expression of the prodomain was able to inhibit the activity of the catalytic domain.",Experimentally validated,,,
,,,P28829,,,,,,,,Protein kinase byr2 (EC 2.7.11.25) (MAPK kinase kinase) (MAPKKK) (Protein kinase ste8),byr2 ste8 SPBC1D7.05 SPBC2F12.01,659,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),151-260(Byr2-CBD),9315645,"Byr2 protein kinase is involved in pheromone-induced sexual differentiation. Sequence from P151 to L260 was the shortest one that could bind Byr2-Cat but not Ste4 or Ras1 in the two-hybrid system and thus was designated the catalytic binding domain (Byr2-CBD). The intramolecular binding of the regulatory (Byr-CBD) to catalytic domain regulates the catalytic activity of Byr2, and it is suggested that this interaction is autoinhibitory.",Experimentally validated,,,
,,,Q63450,,,,,,,,Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha),Camk1,374,Rattus norvegicus (Rat),285-316(Autoinhibitory region),8601311,Camk1 is a calcium/calmodulin-dependent protein kinase involved in calcium-triggered CaMKK-Camk1 signaling cascade. The C-terminal autoinhibitory region interacts with the catalytic core of the enzyme.,Experimentally validated,,,
,,,O14936,,,,,,,,Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog),CASK LIN2,926,Homo sapiens (Human),No autoinhibitory regions,18423203,"CASK is a unique MAGUK protein that contains an N-terminal CaM-kinase domain besides the typical MAGUK domains, and functions as an active protein kinase even without Mg2+ binding. In an archetypal CaM kinase, the catalytic domain is followed by an autoinhibitory domain that inhibits kinase activity and is disinhibited by Ca2+/calmodulin binding. However, the CASK CaM-kinase domain appears to retain a nonfunctional autoinhibitory domain as an evolutionary vestige of CaM kinases.",Experimentally validated,,,
,,,Q39253,,,,,,,,Vacuolar cation/proton exchanger 1 (Ca(2+)/H(+) antiporter CAX1) (Ca(2+)/H(+) exchanger 1) (Protein CATION EXCHANGER 1) (Protein RARE COLD INDUCIBLE 4),CAX1 RCI4 At2g38170 F16M14.10,463,Arabidopsis thaliana (Mouse-ear cress),1-36(N-terminal regulatory region),"12006570, 11706183",CAX1 plays a key role in determining cytosolic Ca2+ levels. A synthetic peptide designed against the CAX1 36 amino acids inhibited Ca2+/H+ transport mediated by an N-terminal-truncated CAX1. N-terminal region of lCAX1 acts as an autoinhibitory domain for Ca2+/H+ transport activity.,Experimentally validated,,,
,,,P35520,,,,,,,,Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase),CBS,551,Homo sapiens (Human),414-551(Autoinhibitory domain),11524006,Cystathionine beta-synthase (CBS) is a key regulatory point in the biosynthesis of cysteine via the transsulfuration pathway. CBS is activated by S-adenosyl-L-methionine (AdoMet) by inducing a conformational change involving a noncatalytic C-terminal region spanning residues 414-551. The discovery of mutants (S466L and I435T) from patients represents the autoinhibitory role of the C-terminal region.,Experimentally validated,,,
,,,O96017,,,,,,,,Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2),CHEK2 CDS1 CHK2 RAD53,543,Homo sapiens (Human),No autoinhibitory regions,14681223,"CHEK1 is a serine/threonine protein kinase and is a key mediator that links the machineries that monitor DNA integrity to components of the cell cycle engine. In human CHEK1 protein (O14757). Its full-length CHEK1 has only low basal activity when expressed. Truncation of the C-terminal regulatory region activates CHEK1. In contrast to CHEK1, the full-length CHEK2 is already active as a kinase and can inhibit cell cycle. Thus, it does not contain autoinhibitory regions.",Experimentally validated,,,
,,,Q9JK25,,,,,,,,CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 170) (CLIP-170) (Restin),Clip1 Cyln1 Rsn,1320,Rattus norvegicus (Rat),1299-1316(C-terminal zinc knuckle domains),"15381688, 17563362","Cytoplasmic linker protein (CLIP-170 or CLIP1) is a prototype of the plus end-tracking proteins that regulate microtubule dynamics. The CAP-Gly-2 domain possesses a basic groove and directly binds the EExEEY/F motif of the C-terminal acidic-tail ends of ?-tubulin. The C-terminal zinc knuckle domains of CLIP-170 bind the basic groove to inhibit the binding to the acidic tails. Once CLIP-170 binds microtubule, the released zinc knuckle domain may serve to recruit dynein to the plus end by interacting with the dynactin subunit p150Glued and LIS1.  ",Experimentally validated,,,
,,,P30622,,,,,,,,CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin),CLIP1 CYLN1 RSN,1438,Homo sapiens (Human),1417-1434(C-terminal zinc knuckle domains),17563362,"Cytoplasmic linker protein (CLIP-170 or CLIP1) is a prototype of the plus end-tracking proteins that regulate microtubule dynamics. The CAP-Gly-2 domain possesses a basic groove and directly binds the EExEEY/F motif of the C-terminal acidic-tail ends of ?-tubulin. The C-terminal zinc knuckle domains of CLIP-170 bind the basic groove to inhibit the binding to the acidic tails. Once CLIP-170 binds microtubule, the released zinc knuckle domain may serve to recruit dynein to the plus end by interacting with the dynactin subunit p150Glued and LIS1.  ",Experimentally validated,,,
,,,Q64010,,,,,,,,Adapter molecule crk (Proto-oncogene c-Crk) (p38),Crk Crko,304,Mus musculus (Mouse),193-296(C-terminal SH3 domain),"17515907, 8183562","CRK regulates transcription and cytoskeletal reorganization for cell growth and motility by linking tyrosine kinases to small G proteins. The SH2 and nSH3 domains are used to recruit their target proteins. The interaction between SH2 and inter-domain linker between nSH3 and cSH3 detaches the SH2-targeting proteins. In addition, cSH3 negatively regulates the function of nSH3.",Experimentally validated,,,
,,,O08967,,,,,,,,"Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3) (CLM3) (SEC7 homolog C) (mSec7-3)",Cyth3 Grp1 Pscd3,399,Mus musculus (Mouse),251-265(Sec7-PH linker);383-395(C-terminal helix/polybasic region),18042453,Cyth3 regulates membrane trafficking and actin dynamics. Sec7-PH tandem reveals a pseudosubstrate mechanism of autoinhibition in which the linker region between domains and a C-terminal amphipathic helix physically block the docking sites for the switch regions of Arf GTPases. Truncation of the polybasic motif (383-395) increases the activity of Cyth3 by 20- to 100-fold. The deletion of the Sec-PH linker region (251-265) also increases the Cyth3 activity. ,Experimentally validated,,,
,,,Q8K382,,,,,,,,DENN domain-containing protein 1A (Connecdenn 1) (Connecdenn),Dennd1a,1016,Mus musculus (Mouse),527-547(C-terminal autoinhibitory region),26055712,"Connecdenn 1/2 are DENN (differentially expressed in normal and neoplastic cells) domain-bearing proteins that function as GEFs (guanine nucleotide exchange factors) for the small GTPase Rab35. It appears that through an intramolecular interaction the C-terminal region of connecdenn 1 obstructs substrate binding and reduce GEF activity. In the case of connecdenn 1, this activity is mediated by interaction of the DENN domain with a C-terminal region containing Ser-536 and Ser-538. ",Experimentally validated,,,
,,,P48608,,,,,,,,Protein diaphanous,dia CG1768,1091,Drosophila melanogaster (Fruit fly),114-369(DID domain);991-1051(DAD domain),"16292343, 20927343","Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. The autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. Autoinhibition is relieved by GTP-bound Rho proteins, which bind to the DID and an adjacent GTPase binding (G) element, and consequently displace the DAD.",Experimentally validated,,,
,,,O08808,,,,,,,,Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1) (p140mDIA) (mDIA1),Diaph1 Diap1,1255,Mus musculus (Mouse),131-378(DID domain);1180-1199(DAD domain),"16292343, 20927343","Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. The autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. Autoinhibition is relieved by GTP-bound Rho proteins, which bind to the DID and an adjacent GTPase binding (G) element, and consequently displace the DAD.",Experimentally validated,,,
,,,Q63744,,,,,,,,Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein homolog) (DLC-1) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12) (p122-RhoGAP),Dlc1 Arhgap7 Rhogap Stard12,1091,Rattus norvegicus (Rat),11-78(SAM domain),18786931,"DLC1 encodes a Rho GTPase-activating protein (RhoGAP) and negative regulator of specific Rho family proteins (RhoA-C and Cdc42). DLC-1 is a multi-domain protein, with the RhoGAP catalytic domain flanked by an amino-terminal sterile motif (SAM) and a carboxyl-terminal START domain. Truncation of SAM domain activates RhoGAP catalytic domain.",Experimentally validated,,,
,,,P31016,,,,,,,,Disks large homolog 4 (Postsynaptic density protein 95) (PSD-95) (Synapse-associated protein 90) (SAP-90) (SAP90),Dlg4 Dlgh4 Psd95,724,Rattus norvegicus (Rat),481-571(PDZ 3 domain);581-681(SH3 domain),"16982606, 10364172",Dlg1 is a member of the membrane-associated guanylate kinase (MAGUK) family of PDZ domain-containing proteins and regulates surface expression of NMDA receptors. PDZ domain adjacent to SH3 and SH3 domain interacts with GK domain for autoinhibition.,Experimentally validated,,,
