Protein name,Gene names,Protein length,Uniprot ID,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB
Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13),Plk1 Plk,603,Q07832,Mus musculus (Mouse),402-603(Polo box domain),11854496,"Polo-like kinase (Plk) acts at various stages in early and late mitosis including the regulation of centrosome maturation and spindle assembly. The C terminus of Plk disrupts the cell cycle by inhibiting Plk activity and results from binding negative regulators of Plk. The C-terminal region of Plk1, which contains a polo-box domain, occludes the catalytic kinase domain in the same protein and this autoinhibition is relieved by the removal of the C-terminal region. In human PLK1 (Q07832), the polo-box also plays an autoinhibitory role.",Experimentally validated,,
Plexin-A1 (Semaphorin receptor NOV),PLXNA1 NOV PLXN1,1896,Q9UIW2,Homo sapiens (Human),27-512(Sema domain),11239433,"PlexA1 (NOV, PLXN1)  plays a role in axon guidance, invasive growth and cell migration. Sema domain of PlexA1 restricts PlexA1 to a basal inactive state by binding to the remainder of the ectodomain. Deletion analysis of the PlexinA1 ectodomain demonstrates that the sema domain prevents PlexinA1 activation in the basal state. Sema-deleted PlexinA1 is constitutively active, producing cell contraction, growth cone collapse, and inhibition of neurite outgrowth. Plexin A1 is autoinhibited by its sema domain, and Sema3A/NP1 releases this inhibition.",Experimentally validated,,
Serine/threonine-protein phosphatase 5 (EC 3.1.3.16),pph-5 Y39B6A.2,496,Q9NES8,Caenorhabditis elegans,29-129(N-terminal tetratricopeptide repeat),"26593036, 9000529","Protein phosphatase 5 (PPH-5) is involved in the regulation of kinases and transcription factors. Its dephosphorylation activity is modulated by the C-terminal MEEVD motif of molecular chaperone Hsp90, which binds to the TPR domain of PPH-5. The TRP domain is involved in autoinhibition and addition of a peptide containing MEEVD motif disrupts the autoinhibition of TPR domain.",Experimentally validated,,
Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha),Ppp3ca Calna,521,P63328,Mus musculus (Mouse),407-414(Autoinhibitory Segment);465-487(Autoinhibitory Domain),"10766794, 26794871","Calcium-dependent, calmodulin-stimulated protein phosphatase (PPP3CA) plays a role in the transduction of intracellular Ca2+-dependent signals. This protein contains two autoinhibitory regions, which interfere with the function of the catalytic domain: autoinhibitory segment(407-414, AIS), autoinhibitory domain(467-487, AID). AIS interact with a hydrophobic groove formed at the junction of CNA and CNB subunits, and the predominantly hydrophobic interactions recruiting AIS mainly involve residues from the N-terminal region of BBH and the preceding loop in CNA (352-365), and the C-terminal helix of the third EF-hand motif and the following linker region in CNB(115-123). The subsequent binding of CaM leads to displacement of AID from the active site and full CN activation",Experimentally validated,,
Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform),PPP3CA CALNA CNA,521,Q08209,Homo sapiens (Human),407-414(Autoinhibitory Segment);467-490(Autoinhibitory Domain),"22100452, 26794871, 8524402","Calmodulin-stimulated protein phosphatase (Calcineurin in short) plays a central role in the transduction of intracellular Ca2+-mediated signals in processes involving T-cell activation, development and function of the central nervous system, and cardiac growth. Calcineurin is composed of a catalytic domain at the N terminus, B chain, a regulatory domain (RD), autoinhibitory domain (AID), and C-terminal domain (ATC). The catalytic domain is autoinhibited by the AID region (467-490) in the absence of calcium and CaM. The conformation of autoinhibition of Calcineurin is released by the binding of CaM to the RD with the presence of calcium, leading to activation of the phosphatase.",Experimentally validated,,
Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit beta isoform) (CNA beta),PPP3CB CALNA2 CALNB CNA2,524,P16298,Homo sapiens (Human),417-423(Autoinhibitory region);474-496(Autoinhibitory region),26794871,"Calcium-dependent, calmodulin-stimulated protein phosphatase (PPP3CB) plays a role in the transduction of intracellular Ca2+-dependent signals in various cellular processes such as cardiac hypertrophy and T cell activation. This protein contains a novel autoinhibitory segment (AIS) in addition to the well-known autoinhibitory domain (AID). AIS and AID cooperatively inhibit enzyme activity.",Experimentally validated,,
Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PPT),Ppp5c,499,P53042,Rattus norvegicus (Rat),28-129(N-terminal tetratricopeptide repeat);495-499(C-terminal autoinhibitory region),"11523989, 27466404, 9000529","Protein phosphatase 5 (Ppp5) is a serine/threonine protein phosphatase comprising a regulatory tetratricopeptide repeat (TPR) domain N-terminal to its phosphatase domain. Ppp5 functions in signaling pathways that control cellular responses to stress, glucocorticoids and DNA damage. Its phosphatase activity is suppressed by an autoinhibited conformation maintained by the TPR domain and a C-terminal region. The TPR domain engages with the catalytic channel of the phosphate domain, restricting access to the catalytic site. This autoinhibited conformation of Ppp5 is stabilized by the C-terminal ?J helix. In a study with rat PPP5C (P53042), the protein also contains a C-terminal regulatory region that may interact with the TPR domain.",Experimentally validated,,
Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT),PPP5C PPP5,499,P53041,Homo sapiens (Human),28-129(N-terminal tetratricopeptide repeat);495-499(C-terminal autoinhibitory region),"11523989, 9000529","Protein phosphatase 5 (PPP55) dephosphorylates a lot of proteins involved in different signalling pathways in cellular processes such as apoptosis, differentiation, DNA damage response, etc. It exhibits low basal activity due to the autoinhibitory properties of its N-terminal and C-terminal domains. The TPR domain shields the active site of the catalytic domain and can be cleaved by proteolysis. In a study with rat PPP5C (P53042), the protein also contains a C-terminal regulatory region that may interact with the TPR domain.",Experimentally validated,,
"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (P-Rex1) (PtdIns(3,4,5)-dependent Rac exchanger 1)",PREX1 KIAA1415,1659,Q8TCU6,Homo sapiens (Human),409-499(DEP1 domain),32661198,"Phosphatidylinositol (3,4,5)-trisphosphate (PIP3)-dependent Rac exchanger 1 (P-Rex1) catalyzes the exchange of GDP for GTP on Rac GTPases, thereby triggering changes in the actin cytoskeleton and in transcription. P-Rex1 contains a DH domain, a PH domain, two DEP domains, and two PDZ domains. The DEP1 domain alone can autoinhibit the activity of P-Rex1 by interacting with the DH/PH domains.",Experimentally validated,,
5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26),PRKAA1 AMPK1,559,Q13131,Homo sapiens (Human),313-335(Autoinhibitory region),"17088252, 23102217","AMP-activated protein kinase acts as an energy sensor, being activated by metabolic stresses and regulating cellular metabolism. AMPK alpha subunit contained an autoinhibitory domain that inhibits the N-terminal kinase domain. Residues 313-335 of AMPK ? not only are responsible for the kinase autoinhibitory function but may also be responsible for full-length kinase degradation.",Experimentally validated,,
5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31),Prkaa2 Ampk Ampk2,552,Q09137,Rattus norvegicus (Rat),284-358(Autoinhibitory region),19474788,"The AMP-activated protein kinase (AMPK) is characterized by its ability to bind to AMP, which enables it to adjust enzymatic activity by sensing the cellular energy status and maintain the balance between ATP production and consumption in eukaryotic cells. AID binding might constrain the mobility of helix ?C, hence resulting in an autoinhibited KD-AID with much lower kinase activity than that of the kinase domain alone.",Experimentally validated,,
"cAMP-dependent protein kinase type I-alpha regulatory subunit [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]",PRKAR1A,380,P00514,Bos taurus (Bovine),96-100(Autoinhibitory segment),"26687711, 1653962, 17614255",PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The autoinhibitory sequence of the regulatory subunit may interact with the catalytic kinase domain and keeping the catalytic subunit inactive by blocking the active site in the absence of cAMP.,Experimentally validated,,
cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1),PRKAR1A PKR1 PRKAR1 TSE1,381,P10644,Homo sapiens (Human),97-101(Autoinhibitory segment),17614255,PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.,Experimentally validated,,
cAMP-dependent protein kinase type I-beta regulatory subunit,PRKAR1B,381,P31321,Homo sapiens (Human),97-101(Autoinhibitory segment),17614255,PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.,Experimentally validated,,
cAMP-dependent protein kinase type II-alpha regulatory subunit,PRKAR2A,401,P00515,Bos taurus (Bovine),93-97(Autoinhibitory segment),"1653962, 17614255",PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.,Experimentally validated,,
cAMP-dependent protein kinase type II-beta regulatory subunit,PRKAR2B,418,P31322,Bos taurus (Bovine),111-115(Autoinhibitiory segment),"1653962, 11087674",PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.,Experimentally validated,,
Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),PRKCA PKCA PRKACA,672,P17252,Homo sapiens (Human),19-36(Pseudosubstrate site),"18923184, 28049730, 2253627, 2153665","PRKCA encodes for Protein kinase C (PKC) alpha type, belongs to the PCKs family, is involved in various cellular processes, including cell growth, immune response, muscle contraction, and synaptic plasticity. The well-known autoinhibitory region of PKC family is the pseudosubstrate sequence at around residues 19-36, which directly interacts and blocks catalytic activity of the kinase domain. Subsequence to the pseudosubstrate site is the C1 domains (C1A and C1B, that bind diacylglycerol (DAG)), and C2 domain (bind anionic phospholipids in a Ca2+-dependent manner). C1a (residues 37-89) domain coordinates a network of domain-domain intramolecular interactions, including direct C1a-C2 contacts. The pseudosubstrate and C1a domains operate as a single functional unit and is necessary to maintain autoinhibition. Additionally, in the absence of the C1a domain there is a significant increase in basal activity.",Experimentally validated,,
Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota),PRKCI DXS1179E,596,P41743,Homo sapiens (Human),123-140(Pseudosubstrate region),25035426,"PRKCI, an atypical PKC (aPKC) isoform, is an important kinase in multiple cellular processes and regulated by the phosphatidylinositol 3-kinase product phosphatidylinositol 3,4,5- (PO4)3 (PIP3). In aPKC molecule, the arginine motif (125-134) in the pseudosubstrate region on the regulatory domain binds to acidic residues in the substate-biding region on the catalytic domain leading to the “off” state of aPKCs. The unfolding structure and autoinhibition of aPKC are released by competing with acidic ligand PIP3 and consequently exposing the substrate-binding site.",Experimentally validated,,
Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu),PRKD1 PKD PKD1 PRKCM,912,Q15139,Homo sapiens (Human),422-541(PH domain),12637538,"Protein kinase D (PKD) is a member of Ser/Thr kinases and plays a major role in Golgi function and organization. The PH domain within the PKD inhibits the function of the PKD. When PH domain is phosphorylated or deleted, the function of PKD is recovered.",Experimentally validated,,
